Timestamp,Total
2023-10-01,11100
2023-10-02,10983
2023-10-03,10415
2023-10-04,11288
2023-10-05,11332
2023-10-06,11027
2023-10-07,11150
2023-10-08,11168
2023-10-09,11117
2023-10-10,11559
2023-10-11,11344
2023-10-12,10820
2023-10-13,10479
2023-10-14,10770
2023-10-15,10936
2023-10-16,10713
2023-10-17,10682
2023-10-18,11295
2023-10-19,10954
2023-10-20,10576
2023-10-21,10844
2023-10-22,11515
2023-10-23,10676
2023-10-24,10819
2023-10-25,10947
2023-10-26,11116
2023-10-27,10510
2023-10-28,10913
2023-10-29,10801
2023-10-30,10960
2023-10-31,11105
